Text,target
"These look delicious and when you first chew, they are delicious. But it did not take long before I started feeling nauseated and ill. There is also a terrible aftertaste that lingers for a while. Be careful.",0.0
"Whenever I give my dogs something to chew on I hope it keeps them busy for a while and tire them out.  These Fun Bites are too big for my Chihuahua (it is suggested for dogs over six pounds), but for my medium sized mix breed, it would take her about a half an hour to finish them off.  I really cannot comment on the ""digestive support"" that the Fun Bites advertise but she does not seem any different as to the way then before she ate these.<br /><br />What is annoying about this product is the labeling as they have important data and warning on the bottom of the package making it very hard to read it without ripping or cutting it.  If it is important, how about putting the warning wear someone can actually read it?",1.0
"This rum cake has little chocolate flaver and chocolate color I don't know why, it dosen't says on box, it is very moist, I wish it not so bitter.",0.0
"My dog loved the original Purina One Adult Chicken with Rice Dog Food.  However, since Purina developed the smart-blend, she won't eat it unless I add some turkey.  The tan color pieces are awful - kind of rubbery.  I went back to buying the regular Purina Chicken and Rice Mix where all the morsels are pretty much the same in size and color.  My dog really likes the older version much better.  I won't be buying the blend mixture again. Sometimes, change isn't better.",0.0
"As like the others have already said, a very delicious, rich, strong coffee that will keep you going all day. It is very good by itself, or with milk, or my personal favorite, some chocolate coffee creamer. I purchased both Jet Fuel and Wake Up call, they are both very smooth and I use them interchangeably The packaging and delivery was top notch, as is usual with amazon. Amazon is the best place to purchase any K-cups as can be found out by price comparison to other retailers.",1.0
"Being a salt-free product is why I purchased this, but the chips are quite greasy.",0.0
"I bought several different brands of the Chai concentrate from Amazon, as there are few options in my rural area's grocery stores.<br /><br />The Tazo Organic Chai is my favorite.  It most closely matches that served by Starbucks.  Only difference is it doesn't have the foam.  I've been told it is what they use.<br /><br />Tazo decaf is my second choice.  Strangely, it is not as good as the Tazo Organic Chai... not as spicy, but OK for drinking in the evening.<br /><br />The Oregon Chai Original is not as good in my opinion as the Tazo.  It is missing something.  Not enough cardamon or pepper or something.<br /><br />The Oregon Chai Sugar-free was very disappointing.  I was hoping there was a good sugar-free option out there as I'd like to avoid the daily calories from my Chai habit.  It just takes like plain tea with mil in my opinion.  It seems to mostly lack the complex, spicy flavor or the Tazo Chai.  Not sure why that is.  The sweetener should have no bearing on the other ingredients.  I have been unable to find any suitable concentrated, sugar-free Chai tea options.  Post if you find one.",0.0
"KIND bar is little like fine dinning, they don't give you a huge portion, and its quite expensive compared to others, but the portion they give you is so good. This is one of the few health bar that doesn't give you that sugar high and then nap time afterward.<br /><br />As a working individual that logs a lot of hours behind a monitor, sometime it is difficult to grab a meal when you are in the middle of something. So for the past few years, I've been stashing a collection of nutritional bar at my desk. Usually, that stash consist of items on sale from either Amazon or Vons. I've many different bars, from Clif Bar, Nature Valley's Granola Bar, to Balance Bar. None of them can compare to KIND bar. I've actually never heard about this company until a sale on Amazon, but due to great reviews. Which is why I want to put in my 2 cents as well.",2.0
Best hazelnut flavored coffee I have found.  The K-cups came in one box.  The K-cups are so easy to use.  Delivered fast as well.,2.0
"Well I have tried many protein shakes and the taste is never been a problem for me but this was just horrible. It's GOOD for YOU but I just couldn't do it. It might be a good protein shake but it's extremely salty, i tried to drink it with other liquids to help the taste but every time it tasted worse and worse =( too bad because I was looking forwards to see some results!!",0.0
"When I opened the package, the salt did not look right. I compared it to some of the Himalayan salt I had from Whole foods and it was a lighter pink. Opened the bag and tasted it. It sure tasted like regular salt was added. Great price but you get what you pay for. Nice trick.",0.0
"Speedy shipment on this product...have not tried it yet but the quality, packaging and so forth seem very good.",1.0
"These are decent sun dried tomatoes, but they are NOT what is described. They are dried tomatoes in a pouch. There is no olive oil and there is no jar. This is not what I ordered. Both the photograph and the item description are incorrect. Amazon was nice enough about refunding my money, once I found a way to contact them by phone.",0.0
"Zoe Lifestyle Treats for Dogs are a healthy alternative to the typical high-calorie dog snacks which you find in stores today. The product is gluten-free and is a good source of soluble fiber. These treats are as hard as a rock which would probably be troublesome for older dogs with poor teeth. I tested these treats on a 2-year-old lab and a 9-year-old golden retriever. Keep in mind...they will eat just about anything. Both dogs threw the sticks on the ground and proceeded to sniff them.  I am not sure, but I think the cinnamon spice flavor threw them off a bit.  After rolling the sticks around on the ground, I am happy to report that they ate them. The next day, I offered them another treat and they didn't seem too excited. Overall, if you are into healthy dog food, these snacks are sensible treats. Personally, I wouldn't buy them again due to the price and the firmness of the product. I would be concerned that my dog would break a tooth.",0.0
"What more can you say, Slim Jim is known commodity, with reliable texture and the favor of this product lives up to its billing.  Amazon is providing a great price point.",1.0
"The texture of this is beautiful...the taste is, frankly, yucky. At first I thought it tasted a little like artificial lemon flavoring rather than ""cheesecake"" but then the aftertaste is really unpleasant very artificial. Bummer.",0.0
"Definitely use the smallest amount of water and be sure to shake the cup before brewing.  The kids got a kick out of making their own ""kid coffee"" but this was only after we tweaked it with less water and brewed it with 3 marshmallows on top. (The hot cocoa hitting the marshmallows releases added sugar as well as turns the marshmallows nice and mushy :)<br /><br />The rest of us don't care to waste our daily calories on something that was, in our opinion, chocolatey water.  Still, it was worth the price for the simple fact that the kiddos can come in from sledding and brew their own hot cocoa without much mess.",1.0
This cheese is wonderful.  It reminds of my youth in Lebanon Pa.  Combine this with a piece of sweet bologna cut into a triangle of similar size and I'm in heaven!,2.0
"Amazon sends you TWELVE boxes of these fabulous cookies and each box disappears FAST - in fact, DO NOT sit down with the whole box nearby or you will munch thru all of them without stopping! They are delicately sweet, crunchy, and buttery - without being at all greasy. You've been warned!",0.0
"These cookies taste great, my kids love them! I feel good about giving them a healthier snack. The only reason I didn't give them a 5-star is becuase each bag comes with 2 servings in it. This makes them a little less convenient to use while traveling, but with an extra bowl or baggie that problem is easily solved. Will definitely buy again!",1.0
"We were given a Keurig coffee machine for a gift. We really like the ease and convenience of use, but the K-cups can be very expensive. I've done extensive comparison shopping, and this particular deal is the best I've found (in online or retail stores, and even different packs here on Amazon). There are not a lot of K-cup decaffeinated choices, but since I like hazelnut flavor, this is a good choice for me.<br /><br />This is a nice mild hazelnut decaf at a good price.",2.0
These are the best!  What a wonderful way to provide a treat for yourself and your kids knowing how healthy and pure they are.  The taste is excellant and satisfies that sweet tooth.  Highly recommend that you try these.,2.0
"When I opened the carton I found 4 packets consisting of:<br /><br />A. A clear packet containing what was described as pasta and had some similarity to orzo.<br /><br />B. A paper packet which was labeled as being some type of seasoning.<br /><br />C. A silver foil packet which held the cheese.<br /><br />D. Another paper packet marked as broccoli but that was a misnomer because the contents clearly appeared to be sawdust from a green shingle.<br /><br />There was no chicken. So much for truth in advertising. There actually was no broccoli either - just some sawdust apparently swept off the floor.<br /><br />I went to Publix and bought some chicken and followed the instructions on the back of the box. I did not, of course, add the sawdust. After adding the cheese I tried a sample and it was edible but not with much of a flavor. It was just OK but no great shakes. That is my reason for the three stars.  I then added a can of Ro*tel diced tomatoes and green chiles. This I topped of with my favorite seasonings and some crumbled Publix saltines. The result was a much improved meal with a significantly improved taste.<br /><br />I actually cannot see any reason for buying this product. You would do better to buy some orzo, chicken and your favorite type of cheese. You most likely have some seasonings already. If you want to add brocolli buy some fresh and steam it for a few minutes and throw it into the mix. Add whatever your imagination and taste buds find pleasurable. You will have a far superior meal.",1.0
"This mix makes nice crispy waffles but the flavor was surprisingly bland.  Next time I make them I'll throw in a tablespoon or two of sugar and see if that helps.  I was hoping for a mix comparable to Bellegem and this is not that mix. If you're looking for waffles with amazing flavor, you should pass this one up and try Bellegem instead.",1.0
"Starbucks is notorious for having a bitter/burnt aftertaste. Such is the case with their packaged coffee as well. But the vanilla flavoring helped and made for a nice cup of coffee. I may not be the best person to review coffee since I take mine fairly sweet, but I enjoyed the cups I've had from this blend.",1.0
"This is one of the best tasting vanilla shakes around.  I'm so happy I tried this, its a nice change from the usual chocolate.  I made this in the blender with water and ice, kinda thick so it would last awhile.  Even my kids like this one and want their own milkshake when they see this come out of the cupboard!",2.0
This sugar smells and taste wonderfully! I changed to only using this sugar. It also healthier than regular sugar because because of its GI load on blood sugar,2.0
"i'm gonna keep this short and sweet<br /><br />Tastes like play-doh, if you like to eat play-doh.. BUY THESE NOODLES, you won't be dissapointed.<br /><br />Update: decided to eat real play-doh after trying to eat these noodles. the play-doh tasted better.",0.0
"These don't taste like I'm dieting. I only need about 3 crackers for my can of sardines. I really can't tell any difference from these and regular crackers. My wife loves them. I also like the Ryvita crispbreads, but my wife will only eat the Breton crackers.",2.0
I need to educate myself on more variety of uses for this product.  I like it but don't use it much.,1.0
