Text,target
This was shipped to me quickly and in good condition. They were exactly what I wanted/needed for my Gluten Free lifestyle! Thanks!,2.0
"I discovered these at my local Starbucks and loved them. The sugar cookies are wonderful, have a nice crunch and leave no aftertaste. The easiest way for me to explain the taste of the sugar cookie is to tell you they taste & remind me of Christmas sugar cookies. The chocolate chip are good and the cinnamon are too but the sugar is my favorite. It's so hard to find gluten-free snacks that taste great and don't leave you yearning for a "" real "" snack. Buy them !",2.0
"I never rececieved the second package, only one, 10.5 oz pkg.  Neither the seller or Amazon ever responded to my complaint that I only received one.  I've waited nearly 6 weeks before writing this review in order to give them ample time to take care of the problem.  I'll think twice about amazon in the future too.  THis isn't the first time they've ignored my complaint.",0.0
I love Paul Newman - so no offense to the man - but I have a male cat and I truly believe this food caused him to get crystals.  Won't buy it again.  Perhaps it would be good for female cats.  Nuff Said.,0.0
"couldn't stop laughing in the store, so just had to buy them. they smell kinda like bacon, but taste like something the dentist uses for fillings in your teeth<br />next time take the time to laugh, but keep the cash in the pocket............",0.0
"So, my dog likes it. I'll just get that out there right away.<br />But, it's awkward to carry and can be messy (which I didn't think it would be) but since you have to sometimes give it a little encouragement to get anything to come out, sometimes it just decides ""Oh you want ALL of it!"" and I have a sticky snouted puppy.<br />And, she has since lost interest in it and prefers treats she can smell better.",1.0
"Was glad to find the product and although I had to buy a ton of them...no problem. The problem was that whoever did the packaging just threw them in a box and no paper or cushion or styrofoam bits. One came broken and oozed all over the box, and another two were dented but no cracks. Would not recommend this dealer for that reason but the product is still good. Well, the ones that survived the journey.",0.0
"This product says ""unscented"" all over it, but has a STRONG perfume smell - fragrance is listed as an ingredient. If you call, they will tell you that it is a ""masking scent"" - yes, I call that scented. I don't find it to be any milder than the regularly scented body washes.",0.0
"My husband purchased this gift basket for his Nonno this Christmas. It did arrive on time; however, the quality is EXTREMELY poor.<br /><br />The basket it arrives in looks cheap, to start out with.<br /><br />Secondly, the quality of products that come in the basket just look cheesy.<br /><br />Third, the plastic that was wrapped around the basket arrived shredded and some of the glass bottles inside the basket had punctured through and were floating around the box.<br /><br />This product is NOT suitable to give as is. To salvage this purchase due to lack of time before Christmas, my husband will need to buy a new basket, some extra items, and repackage it himself. It looks terrible the way it comes, and I would be nothing short of embarassed to give this as a gift. I do NOT recommend.",0.0
"This pump works great - that's not the problem.  The problem is that it makes the bottle about 2 feet tall when it is inserted.  That'a way too tall for your kitchen, or even in your cabinet.  All I can think is that it's perfect if you have a bar, or something where you display all of your bottles.  Otherwise it just looks foolish.  I took mine out, and now I just pour.",1.0
Good Plant. But if you're not at avid gardener and don't know how to pick - this DOES NOT PRODUCE OLIVES! It is a Floral/Fragrant plant.,1.0
"For a licorice addict this will do, but it isn't any better than Twizzlers, and might be worse.",0.0
Koeze Colossal Cashews are most delicious  cashews I have ever tasted and they are HUGE.<br />They aren't kidding when they call them jumbo.  They  are so very flavorful.<br /> Order these and you won't be disappointed<br />(expect you'll wish you had ordered a larger size).,2.0
The title says it.  Some of the cookies arrived with the chocolate melted.  Others were stuck together or had the wafer separated and stuck to the chocolate top of the cookie below.  It appears that the box was a little overheated and banged around somewhere along the way here.  It was 65F here when the package was delivered.,0.0
"This one is not too expensive and really has no carbs or filler like the powdered splenda or powdered sweet n low, seller shipped asap, customer service was great.",1.0
Could not use this because it is full of msg which I am allergic to as are some of my friends. You should list ingredients on items like this.,0.0
